item	Genome_ID	Species	RefSeq	Assembly_ID	Assembly_ID_norm	Strain	Genome_in_HOMD	HOMD_ID	G_ID
H_aegyptius_str_NCTC8135_id_GCA_900450755_1	H_aegyptius_str_NCTC8135_id_GCA_900450755_1	H_aegyptius	Yes	GCA_900450755_1	GCA_900450755.1	NCTC8135	no	NA	G_0001
H_aegyptius_str_CCUG_628_id_GCA_001679305_1	H_aegyptius_str_CCUG_628_id_GCA_001679305_1	H_aegyptius	Yes	GCA_001679305_1	GCA_001679305.1	CCUG_628	no	NA	G_0002
H_aegyptius_str_CCUG_26840_id_GCA_001679335_1	H_aegyptius_str_CCUG_26840_id_GCA_001679335_1	H_aegyptius	Yes	GCA_001679335_1	GCA_001679335.1	CCUG_26840	no	NA	G_0003
H_aegyptius_str_NCTC8502_id_GCA_900475885_1	H_aegyptius_str_NCTC8502_id_GCA_900475885_1	H_aegyptius	Yes	GCA_900475885_1	GCA_900475885.1	NCTC8502	no	NA	G_0004
H_aegyptius_str_FDAARGOS_1478_id_GCA_019930905_1	H_aegyptius_str_FDAARGOS_1478_id_GCA_019930905_1	H_aegyptius	Yes	GCA_019930905_1	GCA_019930905.1	FDAARGOS_1478	no	NA	G_0005
H_aegyptius_str_NCTC8134_id_GCA_900637765_1	H_aegyptius_str_NCTC8134_id_GCA_900637765_1	H_aegyptius	Yes	GCA_900637765_1	GCA_900637765.1	NCTC8134	no	NA	G_0006
H_aegyptius_str_ATCC_11116_id_GCA_000195005_1	H_aegyptius_str_ATCC_11116_id_GCA_000195005_1	H_aegyptius	Yes	GCA_000195005_1	GCA_000195005.1	ATCC_11116	yes	HMT_535	G_0007
H_ducreyi_str_CCUG_4438_id_GCA_002015155_1	H_ducreyi_str_CCUG_4438_id_GCA_002015155_1	H_ducreyi	Yes	GCA_002015155_1	GCA_002015155.1	CCUG_4438	no	NA	G_0008
H_ducreyi_str_ATCC_33940_id_GCA_900109315_1	H_ducreyi_str_ATCC_33940_id_GCA_900109315_1	H_ducreyi	Yes	GCA_900109315_1	GCA_900109315.1	ATCC_33940	no	NA	G_0009
H_ducreyi_str_VAN2_id_GCA_001647695_1	H_ducreyi_str_VAN2_id_GCA_001647695_1	H_ducreyi	Yes	GCA_001647695_1	GCA_001647695.1	VAN2	no	NA	G_0010
H_ducreyi_str_GHA9_id_GCA_001647915_1	H_ducreyi_str_GHA9_id_GCA_001647915_1	H_ducreyi	Yes	GCA_001647915_1	GCA_001647915.1	GHA9	no	NA	G_0011
H_ducreyi_str_GHA8_id_GCA_001647895_1	H_ducreyi_str_GHA8_id_GCA_001647895_1	H_ducreyi	Yes	GCA_001647895_1	GCA_001647895.1	GHA8	no	NA	G_0012
H_ducreyi_str_GHA5_id_GCA_001647875_1	H_ducreyi_str_GHA5_id_GCA_001647875_1	H_ducreyi	Yes	GCA_001647875_1	GCA_001647875.1	GHA5	no	NA	G_0013
H_ducreyi_str_GHA3_id_GCA_001647855_1	H_ducreyi_str_GHA3_id_GCA_001647855_1	H_ducreyi	Yes	GCA_001647855_1	GCA_001647855.1	GHA3	no	NA	G_0014
H_ducreyi_str_FDAARGOS_297_id_GCA_002208665_2	H_ducreyi_str_FDAARGOS_297_id_GCA_002208665_2	H_ducreyi	Yes	GCA_002208665_2	GCA_002208665.2	FDAARGOS_297	no	NA	G_0015
H_ducreyi_str_VAN4_id_GCA_001647765_1	H_ducreyi_str_VAN4_id_GCA_001647765_1	H_ducreyi	Yes	GCA_001647765_1	GCA_001647765.1	VAN4	no	NA	G_0016
H_ducreyi_str_VAN5_id_GCA_001647795_1	H_ducreyi_str_VAN5_id_GCA_001647795_1	H_ducreyi	Yes	GCA_001647795_1	GCA_001647795.1	VAN5	no	NA	G_0017
