Internal_ID	Sub_site	QC_total_reads	sample_color
PP_HC_HMP_S110_02	SUPP	150966862	#000080
PP_HC_HMP_S138_01	SUPP	128495702	#000080
PP_HC_HMP_S118_02	SUPP	127770476	#000080
PP_HC_HMP_S022_03	SUPP	127707510	#000080
PP_HC_HMP_S143_01	SUPP	123118472	#000080
PP_HC_HMP_S121_01	SUPP	120133946	#000080
PP_HC_HMP_S113_02	SUPP	119967972	#000080
PP_HC_HMP_S132_01	SUPP	118242210	#000080
PP_HC_HMP_S034_03	SUPP	106492376	#000080
PP_HC_HMP_S066_03	SUPP	106000288	#000080
TD_HC_HMP_S122_02	TD	231998704	#8b0000
TD_HC_HMP_S048_02	TD	180458346	#8b0000
TD_HC_HMP_S114_02	TD	157465428	#8b0000
TD_HC_HMP_S150_01	TD	156194602	#8b0000
TD_HC_HMP_S155_01	TD	153274174	#8b0000
TD_HC_HMP_S123_02	TD	151072124	#8b0000
TD_HC_HMP_S151_01	TD	150443392	#8b0000
TD_HC_HMP_S109_02	TD	149441816	#8b0000
TD_HC_HMP_S113_02	TD	148796166	#8b0000
TD_HC_HMP_S049_02	TD	146971404	#8b0000
