genome name	domain	confidence	% completion	% redundancy	num_splits	total length
H_aegyptius_str_CCUG_628_id_GCA_001679305_1	BACTERIA	1.0	100.00	0.00	92	1856412
H_aegyptius_str_ATCC_11116_id_GCA_000195005_1	BACTERIA	1.0	100.00	0.00	114	1963583
H_ducreyi_str_CCUG_4438_id_GCA_002015155_1	BACTERIA	1.0	100.00	0.00	77	1534707
H_ducreyi_str_VAN1_id_GCA_001647655_1	BLANK	0.9	0.00	0.00	83	1667451
H_haemolyticus_str_ATCC_33390_id_GCA_004368535_1	BACTERIA	1.0	100.00	0.00	91	1828364
H_haemolyticus_str_M19066_id_GCA_003494695_1	BACTERIA	1.0	100.00	0.00	95	1845083
H_haemolyticus_str_60971_B_Hi_3_id_GCA_006439235_1	BACTERIA	1.0	100.00	0.00	93	1895161
H_haemolyticus_str_M26160_id_GCA_003494485_1	BACTERIA	1.0	100.00	0.00	99	1910429
H_haemolyticus_str_M26157_id_GCA_003494105_1	BACTERIA	1.0	100.00	0.00	97	1872515
H_haemolyticus_str_M11818_id_GCA_003494635_1	BACTERIA	1.0	100.00	0.00	100	1961876
H_haemolyticus_str_M19080_id_GCA_003494285_1	BACTERIA	1.0	100.00	0.00	101	1944931
H_haemolyticus_str_M26164_id_GCA_003494525_1	BACTERIA	1.0	100.00	1.41	93	1812369
H_haemolyticus_str_M25342_id_GCA_003493465_1	BACTERIA	1.0	100.00	0.00	98	1865396
H_haemolyticus_str_M28908_id_GCA_003494545_1	BACTERIA	1.0	100.00	0.00	91	1758067
H_haemolyticus_str_M19099_id_GCA_003490935_1	BACTERIA	1.0	100.00	0.00	100	1874589
H_haemolyticus_str_M26156_id_GCA_003490655_1	BACTERIA	1.0	100.00	0.00	88	1758988
H_haemolyticus_str_M19071_id_GCA_003493965_1	BACTERIA	1.0	100.00	0.00	100	1913378
H_haemolyticus_str_M26174_id_GCA_003493245_1	BACTERIA	1.0	100.00	0.00	108	1974928
H_haemolyticus_str_M19155_id_GCA_003490305_1	BACTERIA	1.0	100.00	0.00	108	1904333
H_haemolyticus_str_HI2028_id_GCA_004368395_1	BACTERIA	1.0	100.00	0.00	98	1848731
H_haemolyticus_str_65117_B_Hi_3_id_GCA_006439285_1	BACTERIA	1.0	100.00	0.00	90	1929375
H_haemolyticus_str_M19122_id_GCA_003493365_1	BACTERIA	1.0	100.00	0.00	107	1978563
H_haemolyticus_str_M19140_id_GCA_003490235_1	BACTERIA	1.0	100.00	0.00	107	1911446
H_haemolyticus_str_M26166_id_GCA_003492745_1	BACTERIA	1.0	100.00	0.00	119	1992113
H_haemolyticus_str_60982_B_Hi_1_id_GCA_006439215_1	BACTERIA	1.0	100.00	1.41	91	1921666
H_haemolyticus_str_60824_B_Hi_4_id_GCA_006439315_1	BACTERIA	1.0	100.00	1.41	98	1980986
H_haemolyticus_str_CCUG_39154_id_GCA_001679445_1	BACTERIA	1.0	100.00	0.00	92	1880185
H_haemolyticus_str_60819_B_Hi_1_id_GCA_006439245_1	BACTERIA	1.0	100.00	1.41	92	1915804
H_haemolyticus_str_M19197_id_GCA_003492365_1	BACTERIA	1.0	100.00	0.00	102	1985430
